pwm,white_balance_k,n_px,mean_b,mean_g,mean_r,mean_lum,r_over_g,b_over_g,neutrality_err,clipped_frac
128,4500,272,162.2683868408203,150.1544189453125,144.125,149.7326202392578,0.9598451852798462,1.0806766748428345,0.08067667484283447,0.0
128,4600,272,158.6544189453125,150.2316131591797,145.54043579101562,149.78915405273438,0.9687737226486206,1.0560654401779175,0.05606544017791748,0.0
128,4700,272,157.44117736816406,149.86764526367188,146.58824157714844,149.75048828125,0.9781180024147034,1.0505348443984985,0.050534844398498535,0.0
128,4800,272,156.55882263183594,149.58824157714844,148.05882263183594,149.92559814453125,0.9897758364677429,1.0465984344482422,0.04659843444824219,0.0
128,4900,272,155.5514678955078,149.3566131591797,149.75,150.18045043945312,1.0026339292526245,1.0414769649505615,0.04147696495056152,0.0
128,5000,272,153.89706420898438,149.5514678955078,150.64706420898438,150.37445068359375,1.0073258876800537,1.029057502746582,0.02905750274658203,0.0
128,5100,272,151.1580810546875,149.44485473632812,151.77574157714844,150.3370819091797,1.0155969858169556,1.0114638805389404,0.015596985816955566,0.0
128,5200,272,147.625,150.01470947265625,152.59925842285156,150.5150604248047,1.017228603363037,0.9840701818466187,0.01722860336303711,0.0
128,5300,272,145.06617736816406,149.83824157714844,153.56617736816406,150.4088592529297,1.0248796939849854,0.968151867389679,0.031848132610321045,0.0
128,5400,272,141.9080810546875,149.97425842285156,154.7169189453125,150.4727783203125,1.031623125076294,0.9462162256240845,0.05378377437591553,0.0
128,5500,272,138.82720947265625,149.7058868408203,155.81985473632812,150.29379272460938,1.0408399105072021,0.9273329973220825,0.07266700267791748,0.0
128,5600,272,136.06985473632812,149.8933868408203,156.71324157714844,150.3566436767578,1.045498013496399,0.9077775478363037,0.09222245216369629,0.0
128,5700,272,132.7794189453125,150.3566131591797,157.54779052734375,150.50299072265625,1.0478274822235107,0.8830966353416443,0.11690336465835571,0.0
128,5800,272,129.44117736816406,150.37867736816406,158.50367736816406,150.4211883544922,1.0540302991867065,0.8607681393623352,0.1392318606376648,0.0
128,5900,272,126.43382263183594,150.68382263183594,160.30882263183594,150.7971954345703,1.063875436782837,0.8390669822692871,0.1609330177307129,0.0
128,6000,272,123.52205657958984,150.78675842285156,160.97793579101562,150.7257537841797,1.0675866603851318,0.8191837072372437,0.18081629276275635,0.0
128,6100,272,120.03308868408203,150.74632263183594,161.97425842285156,150.6021728515625,1.0744823217391968,0.796258807182312,0.203741192817688,0.0
